feature,coefficient,absolute_coefficient,feature_group
lex_liwc_function,1.0183016274105634,1.0183016274105634,liwc
lex_liwc_affect,0.7256060391439598,0.7256060391439598,liwc
lex_liwc_negemo,-0.7212514954633494,0.7212514954633494,liwc
lex_liwc_auxverb,-0.5332807425474794,0.5332807425474794,liwc
lex_liwc_feel,0.5154892522113809,0.5154892522113809,liwc
lex_liwc_Clout,-0.4850008671965404,0.4850008671965404,liwc
lex_liwc_article,-0.4591870435936138,0.4591870435936138,liwc
lex_liwc_percept,-0.43422150487204614,0.43422150487204614,liwc
lex_liwc_Tone,-0.4045730417940169,0.4045730417940169,liwc
lex_liwc_differ,-0.39442601332934085,0.39442601332934085,liwc
lex_liwc_posemo,-0.389028557553953,0.389028557553953,liwc
lex_liwc_prep,-0.368931555387962,0.368931555387962,liwc
lex_liwc_Apostro,0.3351038931923833,0.3351038931923833,liwc
lex_liwc_pronoun,-0.32557363965266795,0.32557363965266795,liwc
lex_liwc_ipron,-0.3235131455130896,0.3235131455130896,liwc
lex_liwc_QMark,0.3057776949080508,0.3057776949080508,liwc
sentiment,-0.29382340741404683,0.29382340741404683,sentiment
lex_liwc_ingest,-0.2759849084537102,0.2759849084537102,liwc
lex_dal_avg_pleasantness,-0.2740643530439508,0.2740643530439508,dal
lex_liwc_focuspresent,0.261854618119524,0.261854618119524,liwc
lex_liwc_risk,0.25868857812579105,0.25868857812579105,liwc
lex_liwc_Dic,0.25169129574133764,0.25169129574133764,liwc
lex_liwc_conj,-0.24762073497290837,0.24762073497290837,liwc
lex_liwc_WPS,0.23619379230324467,0.23619379230324467,liwc
lex_liwc_hear,0.22683161266575388,0.22683161266575388,liwc
lex_liwc_anx,0.221819291256967,0.221819291256967,liwc
lex_liwc_affiliation,0.21685906855895706,0.21685906855895706,liwc
lex_liwc_death,0.20206271147896562,0.20206271147896562,liwc
lex_liwc_adverb,-0.20031501514328104,0.20031501514328104,liwc
lex_liwc_shehe,-0.19735663960622796,0.19735663960622796,liwc
lex_liwc_swear,0.1931627388068212,0.1931627388068212,liwc
lex_dal_min_pleasantness,-0.19153652256922513,0.19153652256922513,dal
lex_liwc_focuspast,-0.18886006131615904,0.18886006131615904,liwc
lex_liwc_OtherP,-0.18367309802739257,0.18367309802739257,liwc
lex_liwc_drives,-0.17523314066405207,0.17523314066405207,liwc
lex_liwc_anger,0.17185185138147946,0.17185185138147946,liwc
lex_dal_avg_imagery,0.17121180703113215,0.17121180703113215,dal
lex_liwc_social,-0.16872474965895165,0.16872474965895165,liwc
lex_liwc_informal,-0.16811387132252328,0.16811387132252328,liwc
lex_liwc_i,0.1619287469858722,0.1619287469858722,liwc
lex_liwc_power,0.1607737835030165,0.1607737835030165,liwc
social_karma,-0.15648553989832045,0.15648553989832045,social
lex_liwc_bio,0.1562067748687794,0.1562067748687794,liwc
lex_liwc_WC,0.1517011450322071,0.1517011450322071,liwc
lex_liwc_space,-0.15005823531066267,0.15005823531066267,liwc
lex_liwc_home,0.14219292261898098,0.14219292261898098,liwc
lex_liwc_Comma,-0.13662851911665996,0.13662851911665996,liwc
lex_liwc_discrep,-0.12609551617740147,0.12609551617740147,liwc
lex_liwc_negate,-0.1238691554520452,0.1238691554520452,liwc
lex_liwc_sad,0.12312177293051288,0.12312177293051288,liwc
lex_liwc_friend,0.12248885904968933,0.12248885904968933,liwc
lex_liwc_they,-0.11681069757331614,0.11681069757331614,liwc
lex_liwc_you,-0.11472825858830014,0.11472825858830014,liwc
lex_liwc_leisure,-0.11471793023490898,0.11471793023490898,liwc
lex_liwc_body,-0.11249101282390053,0.11249101282390053,liwc
lex_liwc_see,0.11233251766834013,0.11233251766834013,liwc
lex_liwc_tentat,0.11099929028953748,0.11099929028953748,liwc
lex_liwc_insight,-0.11033625710571844,0.11033625710571844,liwc
lex_liwc_cogproc,0.11004534477888273,0.11004534477888273,liwc
lex_liwc_Exclam,-0.10842206167372641,0.10842206167372641,liwc
lex_liwc_male,0.09437585141204928,0.09437585141204928,liwc
lex_dal_max_imagery,0.08897652293574872,0.08897652293574872,dal
lex_liwc_AllPunc,-0.07658046473335033,0.07658046473335033,liwc
lex_liwc_work,0.07590076162159033,0.07590076162159033,liwc
lex_liwc_focusfuture,-0.0735492995096912,0.0735492995096912,liwc
lex_liwc_compare,-0.07271621847499525,0.07271621847499525,liwc
lex_liwc_interrog,0.07232541905189932,0.07232541905189932,liwc
lex_dal_min_activation,-0.07219238278822168,0.07219238278822168,dal
lex_liwc_Quote,-0.07083031236273903,0.07083031236273903,liwc
lex_liwc_netspeak,0.06875250065508408,0.06875250065508408,liwc
lex_liwc_ppron,-0.06853875366684535,0.06853875366684535,liwc
